Date,Open,High,Low,Close,Adj Close,Volume
1/1/1996,3.03,3.03,2.925,2.98,2.417746,350000
1/2/1996,2.98,3.025,2.95,2.975,2.413689,412000
1/3/1996,2.975,2.995,2.95,2.985,2.421802,284000
1/4/1996,2.985,2.98,2.94,2.965,2.405576,282000
1/5/1996,2.965,2.98,2.95,2.96,2.401519,189000
1/8/1996,2.96,2.95,2.91,2.925,2.373123,237000
1/9/1996,2.925,2.925,2.8,2.83,2.296047,483000
1/10/1996,2.83,2.865,2.81,2.84,2.304161,226000
1/11/1996,2.84,2.88,2.8,2.83,2.296047,318000
1/12/1996,2.83,2.835,2.8,2.825,2.29199,431000
1/15/1996,2.825,2.815,2.775,2.79,2.263594,181000
1/16/1996,2.79,2.8,2.74,2.74,2.223028,358000
1/17/1996,2.74,2.795,2.63,2.655,2.154065,429000
1/18/1996,2.655,2.655,2.6,2.64,2.141896,330000
1/19/1996,2.64,2.63,2.535,2.555,2.072933,426000
1/22/1996,2.555,2.59,2.52,2.545,2.06482,359000
1/23/1996,2.545,2.6,2.51,2.53,2.05265,399000
1/24/1996,2.53,2.53,2.45,2.465,1.999914,449000
1/25/1996,2.465,2.45,2.41,2.435,1.975574,390000
1/26/1996,2.435,2.435,2.435,2.435,1.975574,0
1/29/1996,2.435,2.495,2.395,2.485,2.01614,311000
1/30/1996,2.485,2.55,2.485,2.52,2.044537,452000
1/31/1996,2.52,2.635,2.55,2.59,2.101329,344000
2/1/1996,2.59,2.8,2.6,2.78,2.255481,424000
2/2/1996,2.78,2.995,2.8,2.915,2.36501,819000
2/5/1996,2.915,3.1,2.95,2.995,2.429915,906000
2/6/1996,2.995,3.05,2.95,2.975,2.413689,888000
2/7/1996,2.975,2.925,2.825,2.865,2.324444,586000
2/8/1996,2.865,3.15,2.885,3.045,2.470481,667000
2/9/1996,3.045,3.655,3.35,3.65,2.961332,1720000
2/12/1996,3.65,3.795,3.45,3.51,2.847747,2851000
2/13/1996,3.6,3.6,3.325,3.45,2.799068,1451000
2/14/1996,3.45,3.8,3.59,3.71,3.010012,2464000
2/15/1996,3.71,3.77,3.67,3.685,2.989729,1191000
2/16/1996,3.685,3.675,3.51,3.56,2.888313,1396000
2/19/1996,3.56,3.65,3.5,3.515,2.851804,1297000
2/20/1996,3.515,3.515,3.305,3.365,2.730105,1361000
2/21/1996,3.365,3.365,3.365,3.365,2.730105,0
2/22/1996,3.365,3.475,3.4,3.425,2.778785,848000
2/23/1996,3.425,3.5,3.4,3.42,2.774729,687000
2/26/1996,3.42,3.475,3.375,3.385,2.746332,647000
2/27/1996,3.39,3.425,3.3,3.395,2.754446,841000
2/28/1996,3.395,3.445,3.305,3.325,2.697652,422000
2/29/1996,3.3,3.3,3,3.065,2.486709,1275000
3/1/1996,3.065,3.15,3,3.11,2.523218,732000
3/4/1996,3.11,3.1,3.05,3.065,2.486709,647000
3/5/1996,3.065,3.065,3.065,3.065,2.486709,0
3/6/1996,3.065,3.15,3.08,3.1,2.515105,360000
3/7/1996,3.1,3.15,3.025,3.06,2.482651,486000
3/8/1996,3.06,3.07,3,3.05,2.474538,387000
3/11/1996,3.05,3.045,2.975,2.995,2.429915,324000
3/12/1996,2.995,2.995,2.93,2.955,2.397462,400000
3/13/1996,2.955,3.1,3,3.08,2.498878,486000
3/14/1996,3.08,3.15,3.045,3.07,2.490765,529000
3/15/1996,3.1,3.1,3,3,2.433972,807000
3/18/1996,3,3.025,2.93,2.985,2.421802,388000
3/19/1996,2.985,3,2.9,2.955,2.397462,617000
3/20/1996,2.955,2.955,2.955,2.955,2.397462,0
3/21/1996,2.955,3.015,2.95,3.005,2.438029,643000
3/22/1996,3.005,3.02,2.935,2.995,2.429915,194000
3/25/1996,2.995,3.05,2.98,3.025,2.454256,413000
3/26/1996,3.025,3.08,2.98,3.045,2.470481,643000
3/27/1996,3.045,3.11,3.03,3.1,2.515105,795000
3/28/1996,3.1,3.275,3.13,3.21,2.60435,1124000
3/29/1996,3.21,3.31,3.2,3.245,2.632746,1356000
4/1/1996,3.245,3.3,3.24,3.29,2.669256,963000
4/2/1996,3.29,3.45,3.28,3.4,2.758502,1835000
4/3/1996,3.4,3.6,3.4,3.49,2.83152,2082000
4/4/1996,3.49,3.455,3.35,3.405,2.762558,1134000
4/5/1996,3.405,3.405,3.405,3.405,2.762558,0
4/8/1996,3.405,3.47,3.41,3.45,2.799068,925000
4/9/1996,3.45,3.46,3.355,3.385,2.746332,1219000
4/10/1996,3.385,3.46,3.24,3.285,2.665199,904000
4/11/1996,3.25,3.34,3.25,3.335,2.705766,631000
4/12/1996,3.335,3.385,3.28,3.35,2.717936,564000
4/15/1996,3.41,3.455,3.375,3.425,2.778785,988000
4/16/1996,3.42,3.435,3.36,3.375,2.738219,783000
4/17/1996,3.375,3.525,3.425,3.505,2.843691,1546000
4/18/1996,3.55,3.695,3.505,3.655,2.965389,2706000
4/19/1996,3.7,4.025,3.625,3.845,3.119541,6350000
4/22/1996,4,4.1,3.705,3.77,3.058691,5643000
4/23/1996,3.77,3.79,3.63,3.71,3.010012,3214000
4/24/1996,3.895,4.05,3.8,3.845,3.119541,5343000
4/25/1996,3.9,3.9,3.61,3.685,2.989729,3333000
4/26/1996,3.685,3.795,3.625,3.7,3.001899,2039000
4/29/1996,3.7,3.735,3.64,3.685,2.989729,1350000
4/30/1996,3.685,3.7,3.505,3.545,2.876143,2701000
5/1/1996,3.545,3.775,3.61,3.625,2.941049,1662000
5/2/1996,3.68,3.68,3.545,3.565,2.89237,1170000
5/3/1996,3.565,3.57,3.49,3.5,2.839634,1779000
5/6/1996,3.5,3.5,3.35,3.38,2.742275,1360000
5/7/1996,3.38,3.44,3.35,3.415,2.770671,1821000
5/8/1996,3.2,3.5,3.2,3.485,2.827464,1617000
5/9/1996,3.485,3.495,3.38,3.405,2.762558,1115000
5/10/1996,3.405,3.395,3.24,3.385,2.746332,1371000
5/13/1996,3.385,3.425,3.35,3.42,2.774729,712000
5/14/1996,3.485,3.485,3.375,3.425,2.778785,1192000
5/15/1996,3.425,3.5,3.4,3.48,2.823408,1608000
5/16/1996,3.48,3.67,3.515,3.575,2.900484,2671000
5/17/1996,3.55,3.55,3.475,3.53,2.863973,1385000
